Time Step,difference,close,far,ratio
188,19.82516667,52.60989792,32.78473125,0.623166601
,,,,
189,19.75488074,52.75101277,32.99613203,0.625507081
,,,,
190,19.82588367,52.95356339,33.12767972,0.625598687
,,,,
191,19.80149917,53.12436713,33.32286796,0.627261458
,,,,
192,19.88624065,53.34611739,33.45987674,0.627222343
,,,,
193,19.76292668,53.49442685,33.73150016,0.630561016
,,,,
194,19.88641886,53.7057976,33.81937874,0.629715603
,,,,
195,19.7256236,53.82970198,34.10407838,0.633555029
,,,,
196,19.78129382,54.00538054,34.22408673,0.633716241
,,,,
197,19.66932175,54.16684111,34.49751936,0.636875229
,,,,
198,19.74751447,54.3838619,34.63634743,0.636886499
,,,,
199,19.66525663,54.49753639,34.83227976,0.639153291
,,,,
200,19.68233668,54.69252458,35.0101879,0.640127479
,,,,
201,19.65216547,54.87545715,35.22329167,0.641876961
,,,,
202,19.66946821,55.05102223,35.38155403,0.64270476
,,,,
203,19.68743764,55.26083836,35.57340071,0.643736175
,,,,
204,19.75826256,55.49618898,35.73792641,0.643970822
,,,,
205,19.67292619,55.62171234,35.94878616,0.646308512
,,,,
206,19.71003251,55.8327139,36.12268139,0.646980576
,,,,
207,19.74908819,56.0087926,36.25970441,0.647393074
,,,,
208,19.6886634,56.18203504,36.49337165,0.649555888
,,,,
209,19.70306867,56.34877514,36.64570647,0.650337232
,,,,
210,19.57322587,56.50240115,36.92917528,0.653585946
,,,,
211,19.70582247,56.74944735,37.04362488,0.652757456
,,,,
212,19.58986364,56.85211178,37.26224814,0.655424169
,,,,
213,19.70885314,57.13282658,37.42397344,0.655034517
,,,,
214,19.68595441,57.26590463,37.57995022,0.656236035
,,,,
215,19.68130961,57.50381281,37.8225032,0.65773905
,,,,
216,19.62909978,57.61682685,37.98772707,0.659316542
,,,,
217,19.75966575,57.89198807,38.13232232,0.658680477
,,,,
218,19.68109271,58.04451306,38.36342035,0.660931039
,,,,
219,19.72269432,58.26919701,38.54650269,0.661524522
,,,,
220,19.69937036,58.42433405,38.72496369,0.662822509
,,,,
221,19.64282823,58.57963858,38.93681035,0.664681642
,,,,
222,19.72388368,58.84655437,39.12267069,0.664825173
,,,,
223,19.60247527,58.91207184,39.30959657,0.66725877
,,,,
224,19.74392669,59.21921375,39.47528706,0.666595933
,,,,
225,19.60968209,59.28289933,39.67321724,0.669218572
,,,,
226,19.72183631,59.51914283,39.79730652,0.668647172
,,,,
227,19.66421838,59.65305155,39.98883318,0.670356874
,,,,
228,19.64247719,59.87213622,40.22965903,0.671926234
,,,,
229,19.6772897,59.98298882,40.30569912,0.671952164
,,,,
230,19.64365271,60.28877135,40.64511864,0.674173942
,,,,
231,19.62996565,60.37711133,40.74714569,0.674877363
,,,,
232,19.53290645,60.57759094,41.04468449,0.677555576
,,,,
233,19.5847547,60.7260749,41.1413202,0.677490193
,,,,
234,19.49551924,60.84763586,41.35211662,0.67960104
,,,,
235,19.60415998,61.10288684,41.49872686,0.679161477
,,,,
236,19.52480973,61.2555757,41.73076597,0.681256612
,,,,
237,19.56554396,61.47147784,41.90593388,0.681713461
,,,,
238,19.57114794,61.58513336,42.01398542,0.682209863
,,,,
239,19.57932519,61.79214683,42.21282163,0.683142176
,,,,
240,19.61413613,61.98894574,42.37480961,0.683586551
,,,,
241,19.59207252,62.20090543,42.60883291,0.685019496
,,,,
242,19.53349708,62.34852688,42.8150298,0.686704754
,,,,
243,19.68872696,62.57047516,42.8817482,0.685335186
,,,,
244,19.54927235,62.70740938,43.15813702,0.688246213
,,,,
245,19.65997487,62.92765373,43.26767886,0.687578136
,,,,
