,iteration,agent_auc,agent_row,agent_col,inhale_mask_factor,infected_exhale_mask_factor,sink_row,sink_col,source_row,source_col
0,0,0.0,1,1,1,0.05,12,5,0,5
1,0,0.0,1,3,1,0.05,12,5,0,5
2,0,0.0,1,5,1,0.05,12,5,0,5
3,0,0.0,1,7,1,0.05,12,5,0,5
4,0,0.0,1,9,1,0.05,12,5,0,5
5,0,0.0,3,1,1,0.05,12,5,0,5
6,0,0.0,3,3,1,0.05,12,5,0,5
7,0,0.0,3,5,1,0.05,12,5,0,5
8,0,0.0,3,7,1,0.05,12,5,0,5
9,0,0.0,3,9,1,0.05,12,5,0,5
10,0,0.0,5,1,1,0.05,12,5,0,5
11,0,0.0,5,3,1,0.05,12,5,0,5
12,0,0.0,5,5,1,0.05,12,5,0,5
13,0,0.0,5,7,1,0.05,12,5,0,5
14,0,0.0,5,9,1,0.05,12,5,0,5
15,0,0.0,7,1,1,0.05,12,5,0,5
16,0,0.0,7,3,1,0.05,12,5,0,5
17,0,0.0,7,5,1,0.05,12,5,0,5
18,0,0.0,7,7,1,0.05,12,5,0,5
19,0,0.0,7,9,1,0.05,12,5,0,5
20,0,0.0,9,1,1,0.05,12,5,0,5
21,0,0.0,9,3,1,0.05,12,5,0,5
22,0,0.0,9,5,1,0.05,12,5,0,5
23,0,0.0,9,7,1,0.05,12,5,0,5
24,0,0.0,9,9,1,0.05,12,5,0,5
25,1,0.0,1,1,1,0.05,12,5,0,5
26,1,0.0,1,3,1,0.05,12,5,0,5
27,1,0.0,1,5,1,0.05,12,5,0,5
28,1,0.0,1,7,1,0.05,12,5,0,5
29,1,0.0,1,9,1,0.05,12,5,0,5
30,1,0.0,3,1,1,0.05,12,5,0,5
31,1,0.0,3,3,1,0.05,12,5,0,5
32,1,0.0,3,5,1,0.05,12,5,0,5
33,1,0.0,3,7,1,0.05,12,5,0,5
34,1,0.0,3,9,1,0.05,12,5,0,5
35,1,0.0,5,1,1,0.05,12,5,0,5
36,1,0.0,5,3,1,0.05,12,5,0,5
37,1,0.0,5,5,1,0.05,12,5,0,5
38,1,0.0,5,7,1,0.05,12,5,0,5
39,1,0.0,5,9,1,0.05,12,5,0,5
40,1,0.0,7,1,1,0.05,12,5,0,5
41,1,0.0,7,3,1,0.05,12,5,0,5
42,1,0.0,7,5,1,0.05,12,5,0,5
43,1,0.0,7,7,1,0.05,12,5,0,5
44,1,0.0,7,9,1,0.05,12,5,0,5
45,1,0.0,9,1,1,0.05,12,5,0,5
46,1,0.0,9,3,1,0.05,12,5,0,5
47,1,0.0,9,5,1,0.05,12,5,0,5
48,1,0.0,9,7,1,0.05,12,5,0,5
49,1,0.0,9,9,1,0.05,12,5,0,5
50,2,0.0,1,1,1,0.05,12,5,0,5
51,2,0.0,1,3,1,0.05,12,5,0,5
52,2,0.0,1,5,1,0.05,12,5,0,5
53,2,0.0,1,7,1,0.05,12,5,0,5
54,2,0.0,1,9,1,0.05,12,5,0,5
55,2,0.0,3,1,1,0.05,12,5,0,5
56,2,0.0,3,3,1,0.05,12,5,0,5
57,2,0.0,3,5,1,0.05,12,5,0,5
58,2,0.0,3,7,1,0.05,12,5,0,5
59,2,0.0,3,9,1,0.05,12,5,0,5
60,2,0.0,5,1,1,0.05,12,5,0,5
61,2,0.0,5,3,1,0.05,12,5,0,5
62,2,0.0,5,5,1,0.05,12,5,0,5
63,2,0.0,5,7,1,0.05,12,5,0,5
64,2,0.0,5,9,1,0.05,12,5,0,5
65,2,0.0,7,1,1,0.05,12,5,0,5
66,2,0.0,7,3,1,0.05,12,5,0,5
67,2,0.0,7,5,1,0.05,12,5,0,5
68,2,0.0,7,7,1,0.05,12,5,0,5
69,2,0.0,7,9,1,0.05,12,5,0,5
70,2,0.0,9,1,1,0.05,12,5,0,5
71,2,0.0,9,3,1,0.05,12,5,0,5
72,2,0.0,9,5,1,0.05,12,5,0,5
73,2,0.0,9,7,1,0.05,12,5,0,5
74,2,0.0,9,9,1,0.05,12,5,0,5
75,3,0.0,1,1,1,0.05,12,5,0,5
76,3,0.0,1,3,1,0.05,12,5,0,5
77,3,0.0,1,5,1,0.05,12,5,0,5
78,3,0.0,1,7,1,0.05,12,5,0,5
79,3,0.0,1,9,1,0.05,12,5,0,5
80,3,0.0,3,1,1,0.05,12,5,0,5
81,3,0.0,3,3,1,0.05,12,5,0,5
82,3,0.0,3,5,1,0.05,12,5,0,5
83,3,0.0,3,7,1,0.05,12,5,0,5
84,3,0.0,3,9,1,0.05,12,5,0,5
85,3,0.0,5,1,1,0.05,12,5,0,5
86,3,0.0,5,3,1,0.05,12,5,0,5
87,3,0.0,5,5,1,0.05,12,5,0,5
88,3,0.0,5,7,1,0.05,12,5,0,5
89,3,0.0,5,9,1,0.05,12,5,0,5
90,3,0.0,7,1,1,0.05,12,5,0,5
91,3,0.0,7,3,1,0.05,12,5,0,5
92,3,0.0,7,5,1,0.05,12,5,0,5
93,3,0.0,7,7,1,0.05,12,5,0,5
94,3,0.0,7,9,1,0.05,12,5,0,5
95,3,0.0,9,1,1,0.05,12,5,0,5
96,3,0.0,9,3,1,0.05,12,5,0,5
97,3,5.756119223772526e-10,9,5,1,0.05,12,5,0,5
98,3,0.0,9,7,1,0.05,12,5,0,5
99,3,0.0,9,9,1,0.05,12,5,0,5
100,4,0.0,1,1,1,0.05,12,5,0,5
101,4,0.0,1,3,1,0.05,12,5,0,5
102,4,0.0,1,5,1,0.05,12,5,0,5
103,4,0.0,1,7,1,0.05,12,5,0,5
104,4,0.0,1,9,1,0.05,12,5,0,5
105,4,0.0,3,1,1,0.05,12,5,0,5
106,4,0.0,3,3,1,0.05,12,5,0,5
107,4,0.0,3,5,1,0.05,12,5,0,5
108,4,0.0,3,7,1,0.05,12,5,0,5
109,4,0.0,3,9,1,0.05,12,5,0,5
110,4,0.0,5,1,1,0.05,12,5,0,5
111,4,0.0,5,3,1,0.05,12,5,0,5
112,4,0.0,5,5,1,0.05,12,5,0,5
113,4,0.0,5,7,1,0.05,12,5,0,5
114,4,0.0,5,9,1,0.05,12,5,0,5
115,4,0.0,7,1,1,0.05,12,5,0,5
116,4,0.0,7,3,1,0.05,12,5,0,5
117,4,0.0,7,5,1,0.05,12,5,0,5
118,4,0.0,7,7,1,0.05,12,5,0,5
119,4,0.0,7,9,1,0.05,12,5,0,5
120,4,5.654789596381623e-22,9,1,1,0.05,12,5,0,5
121,4,5.448818017010406e-15,9,3,1,0.05,12,5,0,5
122,4,1.8858101401140446e-09,9,5,1,0.05,12,5,0,5
123,4,5.4488180170104045e-15,9,7,1,0.05,12,5,0,5
124,4,2.977197486646272e-22,9,9,1,0.05,12,5,0,5
125,5,0.0,1,1,1,0.05,12,5,0,5
126,5,0.0,1,3,1,0.05,12,5,0,5
127,5,0.0,1,5,1,0.05,12,5,0,5
128,5,0.0,1,7,1,0.05,12,5,0,5
129,5,0.0,1,9,1,0.05,12,5,0,5
130,5,0.0,3,1,1,0.05,12,5,0,5
131,5,0.0,3,3,1,0.05,12,5,0,5
132,5,0.0,3,5,1,0.05,12,5,0,5
133,5,0.0,3,7,1,0.05,12,5,0,5
134,5,0.0,3,9,1,0.05,12,5,0,5
135,5,0.0,5,1,1,0.05,12,5,0,5
136,5,0.0,5,3,1,0.05,12,5,0,5
137,5,0.0,5,5,1,0.05,12,5,0,5
138,5,0.0,5,7,1,0.05,12,5,0,5
139,5,0.0,5,9,1,0.05,12,5,0,5
140,5,2.050463603825572e-27,7,1,1,0.05,12,5,0,5
141,5,0.0,7,3,1,0.05,12,5,0,5
142,5,1.6731932248513385e-14,7,5,1,0.05,12,5,0,5
143,5,0.0,7,7,1,0.05,12,5,0,5
144,5,0.0,7,9,1,0.05,12,5,0,5
145,5,1.2580224257459043e-19,9,1,1,0.05,12,5,0,5
146,5,1.144704805323529e-13,9,3,1,0.05,12,5,0,5
147,5,3.977018428445623e-09,9,5,1,0.05,12,5,0,5
148,5,1.144704805323356e-13,9,7,1,0.05,12,5,0,5
149,5,9.665165662318278e-20,9,9,1,0.05,12,5,0,5
150,6,0.0,1,1,1,0.05,12,5,0,5
151,6,0.0,1,3,1,0.05,12,5,0,5
152,6,0.0,1,5,1,0.05,12,5,0,5
153,6,0.0,1,7,1,0.05,12,5,0,5
154,6,0.0,1,9,1,0.05,12,5,0,5
155,6,0.0,3,1,1,0.05,12,5,0,5
156,6,0.0,3,3,1,0.05,12,5,0,5
157,6,0.0,3,5,1,0.05,12,5,0,5
158,6,0.0,3,7,1,0.05,12,5,0,5
159,6,0.0,3,9,1,0.05,12,5,0,5
160,6,1.4298297721959382e-32,5,1,1,0.05,12,5,0,5
161,6,0.0,5,3,1,0.05,12,5,0,5
162,6,0.0,5,5,1,0.05,12,5,0,5
163,6,0.0,5,7,1,0.05,12,5,0,5
164,6,0.0,5,9,1,0.05,12,5,0,5
165,6,1.1699322848687123e-24,7,1,1,0.05,12,5,0,5
166,6,7.203509187473651e-19,7,3,1,0.05,12,5,0,5
167,6,8.729121543970704e-14,7,5,1,0.05,12,5,0,5
168,6,7.203509187470571e-19,7,7,1,0.05,12,5,0,5
169,6,4.319755802904642e-25,7,9,1,0.05,12,5,0,5
170,6,3.1546554657772364e-18,9,1,1,0.05,12,5,0,5
171,6,5.287993875031733e-13,9,3,1,0.05,12,5,0,5
172,6,6.831523514732602e-09,9,5,1,0.05,12,5,0,5
173,6,5.287993874998371e-13,9,7,1,0.05,12,5,0,5
174,6,2.77297724128944e-18,9,9,1,0.05,12,5,0,5
175,7,0.0,1,1,1,0.05,12,5,0,5
176,7,0.0,1,3,1,0.05,12,5,0,5
177,7,0.0,1,5,1,0.05,12,5,0,5
178,7,0.0,1,7,1,0.05,12,5,0,5
179,7,0.0,1,9,1,0.05,12,5,0,5
180,7,2.083120733180097e-37,3,1,1,0.05,12,5,0,5
181,7,0.0,3,3,1,0.05,12,5,0,5
182,7,0.0,3,5,1,0.05,12,5,0,5
183,7,0.0,3,7,1,0.05,12,5,0,5
184,7,0.0,3,9,1,0.05,12,5,0,5
185,7,9.606514940467256e-30,5,1,1,0.05,12,5,0,5
186,7,6.641263454287041e-37,5,3,1,0.05,12,5,0,5
187,7,5.86346295280684e-19,5,5,1,0.05,12,5,0,5
188,7,0.0,5,7,1,0.05,12,5,0,5
189,7,7.281042545897892e-37,5,9,1,0.05,12,5,0,5
190,7,7.606718348542392e-23,7,1,1,0.05,12,5,0,5
191,7,1.2908758618680123e-17,7,3,1,0.05,12,5,0,5
192,7,2.685221795596093e-13,7,5,1,0.05,12,5,0,5
193,7,1.2908758618601132e-17,7,7,1,0.05,12,5,0,5
194,7,4.688316222521232e-23,7,9,1,0.05,12,5,0,5
195,7,2.6551846543810556e-17,9,1,1,0.05,12,5,0,5
196,7,1.5416328136815429e-12,9,3,1,0.05,12,5,0,5
197,7,1.03968698875662e-08,9,5,1,0.05,12,5,0,5
198,7,1.5416328136241132e-12,9,7,1,0.05,12,5,0,5
199,7,2.451082360490013e-17,9,9,1,0.05,12,5,0,5
200,8,6.609340235102134e-42,1,1,1,0.05,12,5,0,5
201,8,0.0,1,3,1,0.05,12,5,0,5
202,8,0.0,1,5,1,0.05,12,5,0,5
203,8,0.0,1,7,1,0.05,12,5,0,5
204,8,0.0,1,9,1,0.05,12,5,0,5
205,8,1.5808085184195402e-34,3,1,1,0.05,12,5,0,5
206,8,2.491596153550864e-42,3,3,1,0.05,12,5,0,5
207,8,0.0,3,5,1,0.05,12,5,0,5
208,8,0.0,3,7,1,0.05,12,5,0,5
209,8,5.41510434137861e-42,3,9,1,0.05,12,5,0,5
210,8,1.1870734684038082e-27,5,1,1,0.05,12,5,0,5
211,8,9.718085650760956e-23,5,3,1,0.05,12,5,0,5
212,8,4.188781679478635e-18,5,5,1,0.05,12,5,0,5
213,8,9.718085650712715e-23,5,7,1,0.05,12,5,0,5
214,8,3.3381626956269945e-28,5,9,1,0.05,12,5,0,5
215,8,1.3144744071219395e-21,7,1,1,0.05,12,5,0,5
216,8,7.574379488758923e-17,7,3,1,0.05,12,5,0,5
217,8,6.343128787383052e-13,7,5,1,0.05,12,5,0,5
218,8,7.574379488465162e-17,7,7,1,0.05,12,5,0,5
219,8,9.756790003121075e-22,7,9,1,0.05,12,5,0,5
220,8,1.2367045443044372e-16,9,1,1,0.05,12,5,0,5
221,8,3.5160108017071563e-12,9,3,1,0.05,12,5,0,5
222,8,1.4603598158200324e-08,9,5,1,0.05,12,5,0,5
223,8,3.516010801283048e-12,9,7,1,0.05,12,5,0,5
224,8,1.1644289489103013e-16,9,9,1,0.05,12,5,0,5
225,9,5.5451309977680234e-39,1,1,1,0.05,12,5,0,5
226,9,3.351284797932721e-47,1,3,1,0.05,12,5,0,5
227,9,0.0,1,5,1,0.05,12,5,0,5
228,9,0.0,1,7,1,0.05,12,5,0,5
229,9,7.984405998557835e-47,1,9,1,0.05,12,5,0,5
230,9,2.1941356811784906e-32,3,1,1,0.05,12,5,0,5
231,9,2.4794457606702304e-39,3,3,1,0.05,12,5,0,5
232,9,2.182509825904659e-23,3,5,1,0.05,12,5,0,5
233,9,1.2803230136317045e-46,3,7,1,0.05,12,5,0,5
234,9,5.945974161418405e-39,3,9,1,0.05,12,5,0,5
235,9,4.06654419521232e-26,5,1,1,0.05,12,5,0,5
236,9,1.4403445695507601e-21,5,3,1,0.05,12,5,0,5
237,9,1.6923096961756528e-17,5,5,1,0.05,12,5,0,5
238,9,1.4403445695081856e-21,5,7,1,0.05,12,5,0,5
239,9,2.0145234482781735e-26,5,9,1,0.05,12,5,0,5
240,9,1.0436626707247593e-20,7,1,1,0.05,12,5,0,5
241,9,2.8250610551874836e-16,7,3,1,0.05,12,5,0,5
242,9,1.2720359681568311e-12,7,5,1,0.05,12,5,0,5
243,9,2.825061054785092e-16,7,7,1,0.05,12,5,0,5
244,9,8.398775419928458e-21,7,9,1,0.05,12,5,0,5
245,9,4.115686826870331e-16,9,1,1,0.05,12,5,0,5
246,9,6.861024339258116e-12,9,3,1,0.05,12,5,0,5
247,9,1.937582595119481e-08,9,5,1,0.05,12,5,0,5
248,9,6.86102433724797e-12,9,7,1,0.05,12,5,0,5
249,9,3.9155726818049074e-16,9,9,1,0.05,12,5,0,5
250,10,8.47486091305441e-37,1,1,1,0.05,12,5,0,5
251,10,3.3603150515914765e-44,1,3,1,0.05,12,5,0,5
252,10,8.694969899300645e-53,1,5,1,0.05,12,5,0,5
253,10,7.789723839448671e-52,1,7,1,0.05,12,5,0,5
254,10,1.0485937458209496e-43,1,9,1,0.05,12,5,0,5
255,10,1.2687773935306979e-30,3,1,1,0.05,12,5,0,5
256,10,1.6655748049944593e-26,3,3,1,0.05,12,5,0,5
257,10,1.97317414002441e-22,3,5,1,0.05,12,5,0,5
258,10,1.665574804953936e-26,3,7,1,0.05,12,5,0,5
259,10,3.03904715507234e-31,3,9,1,0.05,12,5,0,5
260,10,5.363942483647513e-25,5,1,1,0.05,12,5,0,5
261,10,9.448774533613908e-21,5,3,1,0.05,12,5,0,5
262,10,5.086401649065559e-17,5,5,1,0.05,12,5,0,5
263,10,9.448774532448633e-21,5,7,1,0.05,12,5,0,5
264,10,3.240398502087682e-25,5,9,1,0.05,12,5,0,5
265,10,5.2589835555156964e-20,7,1,1,0.05,12,5,0,5
266,10,8.108814991758072e-16,7,3,1,0.05,12,5,0,5
267,10,2.2788258237771087e-12,7,5,1,0.05,12,5,0,5
268,10,8.108814988719527e-16,7,7,1,0.05,12,5,0,5
269,10,4.412981135376716e-20,7,9,1,0.05,12,5,0,5
270,10,1.1023042280780114e-15,9,1,1,0.05,12,5,0,5
