,iteration,agent_auc,agent_row,agent_col,inhale_mask_factor,infected_exhale_mask_factor,sink_row,sink_col,source_row,source_col
0,0,0.0,1,1,1,1,0,5,12,5
1,0,0.0,1,3,1,1,0,5,12,5
2,0,0.0,1,5,1,1,0,5,12,5
3,0,0.0,1,7,1,1,0,5,12,5
4,0,0.0,1,9,1,1,0,5,12,5
5,0,0.0,3,1,1,1,0,5,12,5
6,0,0.0,3,3,1,1,0,5,12,5
7,0,0.0,3,5,1,1,0,5,12,5
8,0,0.0,3,7,1,1,0,5,12,5
9,0,0.0,3,9,1,1,0,5,12,5
10,0,0.0,5,1,1,1,0,5,12,5
11,0,0.0,5,3,1,1,0,5,12,5
12,0,0.0,5,5,1,1,0,5,12,5
13,0,0.0,5,7,1,1,0,5,12,5
14,0,0.0,5,9,1,1,0,5,12,5
15,0,0.0,7,1,1,1,0,5,12,5
16,0,0.0,7,3,1,1,0,5,12,5
17,0,0.0,7,5,1,1,0,5,12,5
18,0,0.0,7,7,1,1,0,5,12,5
19,0,0.0,7,9,1,1,0,5,12,5
20,0,0.0,9,1,1,1,0,5,12,5
21,0,0.0,9,3,1,1,0,5,12,5
22,0,0.0,9,5,1,1,0,5,12,5
23,0,0.0,9,7,1,1,0,5,12,5
24,0,0.0,9,9,1,1,0,5,12,5
25,1,0.0,1,1,1,1,0,5,12,5
26,1,0.0,1,3,1,1,0,5,12,5
27,1,0.0,1,5,1,1,0,5,12,5
28,1,0.0,1,7,1,1,0,5,12,5
29,1,0.0,1,9,1,1,0,5,12,5
30,1,0.0,3,1,1,1,0,5,12,5
31,1,0.0,3,3,1,1,0,5,12,5
32,1,0.0,3,5,1,1,0,5,12,5
33,1,0.0,3,7,1,1,0,5,12,5
34,1,0.0,3,9,1,1,0,5,12,5
35,1,0.0,5,1,1,1,0,5,12,5
36,1,0.0,5,3,1,1,0,5,12,5
37,1,0.0,5,5,1,1,0,5,12,5
38,1,0.0,5,7,1,1,0,5,12,5
39,1,0.0,5,9,1,1,0,5,12,5
40,1,0.0,7,1,1,1,0,5,12,5
41,1,0.0,7,3,1,1,0,5,12,5
42,1,0.0,7,5,1,1,0,5,12,5
43,1,0.0,7,7,1,1,0,5,12,5
44,1,0.0,7,9,1,1,0,5,12,5
45,1,0.0,9,1,1,1,0,5,12,5
46,1,0.0,9,3,1,1,0,5,12,5
47,1,0.0,9,5,1,1,0,5,12,5
48,1,0.0,9,7,1,1,0,5,12,5
49,1,0.0,9,9,1,1,0,5,12,5
50,2,0.0,1,1,1,1,0,5,12,5
51,2,0.0,1,3,1,1,0,5,12,5
52,2,0.0,1,5,1,1,0,5,12,5
53,2,0.0,1,7,1,1,0,5,12,5
54,2,0.0,1,9,1,1,0,5,12,5
55,2,0.0,3,1,1,1,0,5,12,5
56,2,0.0,3,3,1,1,0,5,12,5
57,2,0.0,3,5,1,1,0,5,12,5
58,2,0.0,3,7,1,1,0,5,12,5
59,2,0.0,3,9,1,1,0,5,12,5
60,2,0.0,5,1,1,1,0,5,12,5
61,2,0.0,5,3,1,1,0,5,12,5
62,2,0.0,5,5,1,1,0,5,12,5
63,2,0.0,5,7,1,1,0,5,12,5
64,2,0.0,5,9,1,1,0,5,12,5
65,2,0.0,7,1,1,1,0,5,12,5
66,2,0.0,7,3,1,1,0,5,12,5
67,2,0.0,7,5,1,1,0,5,12,5
68,2,0.0,7,7,1,1,0,5,12,5
69,2,0.0,7,9,1,1,0,5,12,5
70,2,0.0,9,1,1,1,0,5,12,5
71,2,0.0,9,3,1,1,0,5,12,5
72,2,1.1358914740237462e-08,9,5,1,1,0,5,12,5
73,2,0.0,9,7,1,1,0,5,12,5
74,2,0.0,9,9,1,1,0,5,12,5
75,3,0.0,1,1,1,1,0,5,12,5
76,3,0.0,1,3,1,1,0,5,12,5
77,3,0.0,1,5,1,1,0,5,12,5
78,3,0.0,1,7,1,1,0,5,12,5
79,3,0.0,1,9,1,1,0,5,12,5
80,3,0.0,3,1,1,1,0,5,12,5
81,3,0.0,3,3,1,1,0,5,12,5
82,3,0.0,3,5,1,1,0,5,12,5
83,3,0.0,3,7,1,1,0,5,12,5
84,3,0.0,3,9,1,1,0,5,12,5
85,3,0.0,5,1,1,1,0,5,12,5
86,3,0.0,5,3,1,1,0,5,12,5
87,3,0.0,5,5,1,1,0,5,12,5
88,3,0.0,5,7,1,1,0,5,12,5
89,3,0.0,5,9,1,1,0,5,12,5
90,3,0.0,7,1,1,1,0,5,12,5
91,3,0.0,7,3,1,1,0,5,12,5
92,3,1.3729388663560625e-12,7,5,1,1,0,5,12,5
93,3,0.0,7,7,1,1,0,5,12,5
94,3,0.0,7,9,1,1,0,5,12,5
95,3,0.0,9,1,1,1,0,5,12,5
96,3,3.0971277223912877e-12,9,3,1,1,0,5,12,5
97,3,3.6929574602252894e-07,9,5,1,1,0,5,12,5
98,3,3.0971277223912877e-12,9,7,1,1,0,5,12,5
99,3,0.0,9,9,1,1,0,5,12,5
100,4,0.0,1,1,1,1,0,5,12,5
101,4,0.0,1,3,1,1,0,5,12,5
102,4,0.0,1,5,1,1,0,5,12,5
103,4,0.0,1,7,1,1,0,5,12,5
104,4,0.0,1,9,1,1,0,5,12,5
105,4,0.0,3,1,1,1,0,5,12,5
106,4,0.0,3,3,1,1,0,5,12,5
107,4,0.0,3,5,1,1,0,5,12,5
108,4,0.0,3,7,1,1,0,5,12,5
109,4,0.0,3,9,1,1,0,5,12,5
110,4,0.0,5,1,1,1,0,5,12,5
111,4,0.0,5,3,1,1,0,5,12,5
112,4,1.4520233905485818e-16,5,5,1,1,0,5,12,5
113,4,0.0,5,7,1,1,0,5,12,5
114,4,0.0,5,9,1,1,0,5,12,5
115,4,0.0,7,1,1,1,0,5,12,5
116,4,5.193862270550956e-16,7,3,1,1,0,5,12,5
117,4,8.580852716397095e-11,7,5,1,1,0,5,12,5
118,4,5.193862270550956e-16,7,7,1,1,0,5,12,5
119,4,0.0,7,9,1,1,0,5,12,5
120,4,4.890984628750996e-16,9,1,1,1,0,5,12,5
121,4,7.009186503142689e-11,9,3,1,1,0,5,12,5
122,4,1.2004739438536267e-06,9,5,1,1,0,5,12,5
123,4,7.009186503142688e-11,9,7,1,1,0,5,12,5
124,4,3.929965695130059e-16,9,9,1,1,0,5,12,5
125,5,0.0,1,1,1,1,0,5,12,5
126,5,0.0,1,3,1,1,0,5,12,5
127,5,0.0,1,5,1,1,0,5,12,5
128,5,0.0,1,7,1,1,0,5,12,5
129,5,0.0,1,9,1,1,0,5,12,5
130,5,0.0,3,1,1,1,0,5,12,5
131,5,0.0,3,3,1,1,0,5,12,5
132,5,2.5009374887458013e-20,3,5,1,1,0,5,12,5
133,5,0.0,3,7,1,1,0,5,12,5
134,5,0.0,3,9,1,1,0,5,12,5
