,iteration,agent_auc,agent_row,agent_col,inhale_mask_factor,infected_exhale_mask_factor,sink_row,sink_col,source_row,source_col
0,0,0.0,1,1,1.0,1.0,12,5,0,5
1,0,0.0,1,3,1.0,1.0,12,5,0,5
2,0,0.0,1,5,1.0,1.0,12,5,0,5
3,0,0.0,1,7,1.0,1.0,12,5,0,5
4,0,0.0,1,9,1.0,1.0,12,5,0,5
5,0,0.0,3,1,1.0,1.0,12,5,0,5
6,0,0.0,3,3,1.0,1.0,12,5,0,5
7,0,0.0,3,5,1.0,1.0,12,5,0,5
8,0,0.0,3,7,1.0,1.0,12,5,0,5
9,0,0.0,3,9,1.0,1.0,12,5,0,5
10,0,0.0,5,1,1.0,1.0,12,5,0,5
11,0,0.0,5,3,1.0,1.0,12,5,0,5
12,0,0.0,5,5,1.0,1.0,12,5,0,5
13,0,0.0,5,7,1.0,1.0,12,5,0,5
14,0,0.0,5,9,1.0,1.0,12,5,0,5
15,0,0.0,7,1,1.0,1.0,12,5,0,5
16,0,0.0,7,3,1.0,1.0,12,5,0,5
17,0,0.0,7,5,1.0,1.0,12,5,0,5
18,0,0.0,7,7,1.0,1.0,12,5,0,5
19,0,0.0,7,9,1.0,1.0,12,5,0,5
20,0,0.0,9,1,1.0,1.0,12,5,0,5
21,0,0.0,9,3,1.0,1.0,12,5,0,5
22,0,0.0,9,5,1.0,1.0,12,5,0,5
23,0,0.0,9,7,1.0,1.0,12,5,0,5
24,0,0.0,9,9,1.0,1.0,12,5,0,5
25,1,0.0,1,1,1.0,1.0,12,5,0,5
26,1,0.0,1,3,1.0,1.0,12,5,0,5
27,1,0.0,1,5,1.0,1.0,12,5,0,5
28,1,0.0,1,7,1.0,1.0,12,5,0,5
29,1,0.0,1,9,1.0,1.0,12,5,0,5
30,1,0.0,3,1,1.0,1.0,12,5,0,5
31,1,0.0,3,3,1.0,1.0,12,5,0,5
32,1,0.0,3,5,1.0,1.0,12,5,0,5
33,1,0.0,3,7,1.0,1.0,12,5,0,5
34,1,0.0,3,9,1.0,1.0,12,5,0,5
35,1,0.0,5,1,1.0,1.0,12,5,0,5
36,1,0.0,5,3,1.0,1.0,12,5,0,5
37,1,0.0,5,5,1.0,1.0,12,5,0,5
38,1,0.0,5,7,1.0,1.0,12,5,0,5
39,1,0.0,5,9,1.0,1.0,12,5,0,5
40,1,0.0,7,1,1.0,1.0,12,5,0,5
41,1,0.0,7,3,1.0,1.0,12,5,0,5
42,1,0.0,7,5,1.0,1.0,12,5,0,5
43,1,0.0,7,7,1.0,1.0,12,5,0,5
44,1,0.0,7,9,1.0,1.0,12,5,0,5
45,1,0.0,9,1,1.0,1.0,12,5,0,5
46,1,0.0,9,3,1.0,1.0,12,5,0,5
47,1,0.0,9,5,1.0,1.0,12,5,0,5
48,1,0.0,9,7,1.0,1.0,12,5,0,5
49,1,0.0,9,9,1.0,1.0,12,5,0,5
50,2,0.0,1,1,1.0,1.0,12,5,0,5
51,2,0.0,1,3,1.0,1.0,12,5,0,5
52,2,0.0,1,5,1.0,1.0,12,5,0,5
53,2,0.0,1,7,1.0,1.0,12,5,0,5
54,2,0.0,1,9,1.0,1.0,12,5,0,5
55,2,0.0,3,1,1.0,1.0,12,5,0,5
56,2,0.0,3,3,1.0,1.0,12,5,0,5
57,2,0.0,3,5,1.0,1.0,12,5,0,5
58,2,0.0,3,7,1.0,1.0,12,5,0,5
59,2,0.0,3,9,1.0,1.0,12,5,0,5
60,2,0.0,5,1,1.0,1.0,12,5,0,5
61,2,0.0,5,3,1.0,1.0,12,5,0,5
62,2,0.0,5,5,1.0,1.0,12,5,0,5
63,2,0.0,5,7,1.0,1.0,12,5,0,5
64,2,0.0,5,9,1.0,1.0,12,5,0,5
65,2,0.0,7,1,1.0,1.0,12,5,0,5
66,2,0.0,7,3,1.0,1.0,12,5,0,5
67,2,0.0,7,5,1.0,1.0,12,5,0,5
68,2,0.0,7,7,1.0,1.0,12,5,0,5
69,2,0.0,7,9,1.0,1.0,12,5,0,5
70,2,0.0,9,1,1.0,1.0,12,5,0,5
71,2,0.0,9,3,1.0,1.0,12,5,0,5
72,2,0.0,9,5,1.0,1.0,12,5,0,5
73,2,0.0,9,7,1.0,1.0,12,5,0,5
74,2,0.0,9,9,1.0,1.0,12,5,0,5
75,3,0.0,1,1,1.0,1.0,12,5,0,5
76,3,0.0,1,3,1.0,1.0,12,5,0,5
77,3,0.0,1,5,1.0,1.0,12,5,0,5
78,3,0.0,1,7,1.0,1.0,12,5,0,5
79,3,0.0,1,9,1.0,1.0,12,5,0,5
80,3,0.0,3,1,1.0,1.0,12,5,0,5
81,3,0.0,3,3,1.0,1.0,12,5,0,5
82,3,0.0,3,5,1.0,1.0,12,5,0,5
83,3,0.0,3,7,1.0,1.0,12,5,0,5
84,3,0.0,3,9,1.0,1.0,12,5,0,5
85,3,0.0,5,1,1.0,1.0,12,5,0,5
86,3,0.0,5,3,1.0,1.0,12,5,0,5
87,3,0.0,5,5,1.0,1.0,12,5,0,5
88,3,0.0,5,7,1.0,1.0,12,5,0,5
89,3,0.0,5,9,1.0,1.0,12,5,0,5
90,3,0.0,7,1,1.0,1.0,12,5,0,5
91,3,0.0,7,3,1.0,1.0,12,5,0,5
92,3,0.0,7,5,1.0,1.0,12,5,0,5
93,3,0.0,7,7,1.0,1.0,12,5,0,5
94,3,0.0,7,9,1.0,1.0,12,5,0,5
95,3,0.0,9,1,1.0,1.0,12,5,0,5
96,3,0.0,9,3,1.0,1.0,12,5,0,5
97,3,5.756119223772527e-10,9,5,1.0,1.0,12,5,0,5
98,3,0.0,9,7,1.0,1.0,12,5,0,5
99,3,0.0,9,9,1.0,1.0,12,5,0,5
100,4,0.0,1,1,1.0,1.0,12,5,0,5
101,4,0.0,1,3,1.0,1.0,12,5,0,5
102,4,0.0,1,5,1.0,1.0,12,5,0,5
103,4,0.0,1,7,1.0,1.0,12,5,0,5
104,4,0.0,1,9,1.0,1.0,12,5,0,5
105,4,0.0,3,1,1.0,1.0,12,5,0,5
106,4,0.0,3,3,1.0,1.0,12,5,0,5
107,4,0.0,3,5,1.0,1.0,12,5,0,5
108,4,0.0,3,7,1.0,1.0,12,5,0,5
109,4,0.0,3,9,1.0,1.0,12,5,0,5
110,4,0.0,5,1,1.0,1.0,12,5,0,5
111,4,0.0,5,3,1.0,1.0,12,5,0,5
112,4,0.0,5,5,1.0,1.0,12,5,0,5
113,4,0.0,5,7,1.0,1.0,12,5,0,5
114,4,0.0,5,9,1.0,1.0,12,5,0,5
115,4,0.0,7,1,1.0,1.0,12,5,0,5
116,4,0.0,7,3,1.0,1.0,12,5,0,5
117,4,0.0,7,5,1.0,1.0,12,5,0,5
118,4,0.0,7,7,1.0,1.0,12,5,0,5
119,4,0.0,7,9,1.0,1.0,12,5,0,5
120,4,5.654789596381624e-22,9,1,1.0,1.0,12,5,0,5
121,4,5.448818017010404e-15,9,3,1.0,1.0,12,5,0,5
122,4,1.8858101401140446e-09,9,5,1.0,1.0,12,5,0,5
123,4,5.4488180170104045e-15,9,7,1.0,1.0,12,5,0,5
124,4,2.9771974866462716e-22,9,9,1.0,1.0,12,5,0,5
125,5,0.0,1,1,1.0,1.0,12,5,0,5
126,5,0.0,1,3,1.0,1.0,12,5,0,5
127,5,0.0,1,5,1.0,1.0,12,5,0,5
128,5,0.0,1,7,1.0,1.0,12,5,0,5
129,5,0.0,1,9,1.0,1.0,12,5,0,5
130,5,0.0,3,1,1.0,1.0,12,5,0,5
131,5,0.0,3,3,1.0,1.0,12,5,0,5
132,5,0.0,3,5,1.0,1.0,12,5,0,5
133,5,0.0,3,7,1.0,1.0,12,5,0,5
134,5,0.0,3,9,1.0,1.0,12,5,0,5
135,5,0.0,5,1,1.0,1.0,12,5,0,5
136,5,0.0,5,3,1.0,1.0,12,5,0,5
137,5,0.0,5,5,1.0,1.0,12,5,0,5
138,5,0.0,5,7,1.0,1.0,12,5,0,5
139,5,0.0,5,9,1.0,1.0,12,5,0,5
140,5,2.0504636038255733e-27,7,1,1.0,1.0,12,5,0,5
141,5,0.0,7,3,1.0,1.0,12,5,0,5
142,5,1.6731932248513385e-14,7,5,1.0,1.0,12,5,0,5
143,5,0.0,7,7,1.0,1.0,12,5,0,5
144,5,0.0,7,9,1.0,1.0,12,5,0,5
145,5,1.2580224257459038e-19,9,1,1.0,1.0,12,5,0,5
146,5,1.1447048053235285e-13,9,3,1.0,1.0,12,5,0,5
147,5,3.977018428445622e-09,9,5,1.0,1.0,12,5,0,5
148,5,1.1447048053233559e-13,9,7,1.0,1.0,12,5,0,5
149,5,9.66516566231828e-20,9,9,1.0,1.0,12,5,0,5
150,6,0.0,1,1,1.0,1.0,12,5,0,5
151,6,0.0,1,3,1.0,1.0,12,5,0,5
152,6,0.0,1,5,1.0,1.0,12,5,0,5
153,6,0.0,1,7,1.0,1.0,12,5,0,5
154,6,0.0,1,9,1.0,1.0,12,5,0,5
155,6,0.0,3,1,1.0,1.0,12,5,0,5
156,6,0.0,3,3,1.0,1.0,12,5,0,5
157,6,0.0,3,5,1.0,1.0,12,5,0,5
158,6,0.0,3,7,1.0,1.0,12,5,0,5
159,6,0.0,3,9,1.0,1.0,12,5,0,5
160,6,1.4298297721959382e-32,5,1,1.0,1.0,12,5,0,5
161,6,0.0,5,3,1.0,1.0,12,5,0,5
162,6,0.0,5,5,1.0,1.0,12,5,0,5
163,6,0.0,5,7,1.0,1.0,12,5,0,5
164,6,0.0,5,9,1.0,1.0,12,5,0,5
165,6,1.1699322848687121e-24,7,1,1.0,1.0,12,5,0,5
166,6,7.203509187473652e-19,7,3,1.0,1.0,12,5,0,5
167,6,8.729121543970707e-14,7,5,1.0,1.0,12,5,0,5
168,6,7.203509187470569e-19,7,7,1.0,1.0,12,5,0,5
169,6,4.31975580290464e-25,7,9,1.0,1.0,12,5,0,5
170,6,3.154655465777237e-18,9,1,1.0,1.0,12,5,0,5
171,6,5.28799387503173e-13,9,3,1.0,1.0,12,5,0,5
172,6,6.831523514732599e-09,9,5,1.0,1.0,12,5,0,5
173,6,5.28799387499837e-13,9,7,1.0,1.0,12,5,0,5
